"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Êâàðòèðà ïîñëå êàïèòàëüíîãî ðåìîíòà ñ èíòåðüåð-äèçàéíîì. 

Ïåðåï","3",61,"LT proj.",79500,1,5,"Centrs","Stabu 104","Stabu"
"Tiek pardots divistabu dzivoklis ar individualu gazes apkuri, ze","2",42,"Stalina",58000,2,3,"Maskavas priekspilseta","Liksnas 25","Liksnas"
"Ïðîäà¸ì êâàðòèðó íà óëèöå Ýëâèðàñ 10, 4-ûé ýòàæ 5-òè ýòàæíîãî äî","2",47,"Specpr.",48000,4,5,"Agenskalns","Elviras 10","Elviras"
"Blakus Mezaparkam, jaunaja projekta ""Liepziedi"" tiek piedavati d","3",55,"Jaun.",92500,5,6,"Aplokciems","Briezu 9","Briezu"
"Pardodam lielu gaisu dzivokli. 

Dzivokli 2 izoletas istabas, li","3",75,"119.",81000,4,9,"Zolitude","Biezina 9","Biezina"
"Ekskluzivs 4 istabu dzivoklis jaunaja projekta ar skatu pari pri","4",95,"Jaun.",169500,9,14,"Jugla","Brivibas 386, k-3","Brivibas"
"Ïðîäàåòñÿ 3 êîìíàòíàÿ êâàðòèðà â õîðîøåì ñîñòîÿíèè. 

3 èçîëèðîâ","3",69,"Specpr.",119900,10,12,"Mezaparks","Kempes 7","Kempes"
"Divu izoletu istabu dzivokli ar stavvietu slegta, privata pagalm","2",48,"P. kara",75000,4,4,"Centrs","Brivibas 127","Brivibas"
"Ïðîäà¸ì êâàðòèðó íà óëèöå Ýëâèðàñ 12, 4-ûé ýòàæ 5-òè ýòàæíîãî äî","1",27,"Specpr.",28000,4,5,"Agenskalns","Elviras 12","Elviras"
"Ïðîäà¸òñÿ îòëè÷íàÿ îäíîêîìíàòíàÿ êâàðòèðà â ïðåêðàñíîì ìåñòå.","1",32,"467.",36999,5,9,"Krasta"," Lubanas 14","Lubanas"
"Ipasnieks piedava iegadaties dzivokli pilsetas aktiva centra cen","3",79,"P. kara",130999,5,6,"Centrs","Bruninieku 28","Bruninieku"
"Ýêñêëþçèâíûé ïåíòõàóñ, ñ òåððàñîé 18 ì<U+00B2>, c îãðîìíûìè ïàíoðàìíûìè","3",130,"Renov.",385000,4,4,"Kipsala","Oglu 32","Oglu"
"Tiek pardots 2 istabu dzivoklis ar platibu 60 kvm stalina laika","2",60,"P. kara",61000,1,5,"Ilguciems","Daugavgrivas 132/1","Daugavgrivas"
"Oglu 32-4. Ipasnieks pardod ekskluzivo pilnigi mebeletu 3-istabu","3",80,"P. kara",250000,2,4,"Kipsala","Oglu 32","Oglu"
"Ekskluzivais mebelets 2-istabu dzivoklis ar terasi - jauna proje","2",70,"Jaun.",210000,1,3,"Kipsala","Zvejnieku 24","Zvejnieku"
"Ïðîäàåòñÿ 3-õ êîìíàòíàÿ êâàðòèðà ñ ïàðêèíãîì â óíèêàëüíîì æèëîì","3",89,"Jaun.",265000,5,5,"Centrs","Ausekla 4","Ausekla"
"Zeme ipasuma. 



Dzivoklis bez remonta, nomainiti divi logi, me","2",53,"103.",52000,4,5,"Purvciems","Nicgales 40","Nicgales"
"Plass 4 istabu dzivoklis privatmaju rajona, Zolitude, Valtaiku i","4",71,"Priv. m.",65000,2,2,"Zolitude","Valtaiku 24","Valtaiku"
"Plass 3 istabu dzivoklis privatmaju rajona, Zolitude, Valtaiku i","3",65,"Priv. m.",69000,1,2,"Zolitude","Valtaiku 24","Valtaiku"
"Ekskluzivs ipasums - 4 istabu dzivoklis ar ara terasi, Zolitude,","4",99,"Priv. m.",105000,1,2,"Zolitude","Valtaiku 24","Valtaiku"
"Ïðîñòîðíàÿ, êîìôîðòíàÿ, î÷åíü òèõàÿ è ñïîêîéíàÿ êâàðòèðà ñ êàïèò","3",83,"Stalina",97000,1,3,"Kengarags","Aviacijas 2","Aviacijas"
"3D ture, izstaiga dzivokli, esot majas. Links ar dzivokla planoj","3",77,"Renov.",129000,3,6,"Centrs","Krasta 11","Krasta"
"Pardod 2 istabu dzivokli ar pasakainu skatu uz parku Riverpark p","2",54,"Renov.",115000,5,6,"Agenskalns","Ranka d. 9","Ranka"
"Pardodu 3-istabu dzivokli, centra. Loti perspektiva, laba atrasa","3",59,"P. kara",72500,5,5,"Centrs","Stabu 45","Stabu"
"Äîáðûé äåíü. 

Ïðîäàåòñÿ îòëè÷íàÿ êâàðòèðà, ïðèâàòèçèðîâàííàÿ, ä","1",38,"Specpr.",35000,2,9,"Sarkandaugava","Viestura pr. 51","Viestura"
